type,method,metric,score
partially_annotated_batches_2,scGEN,truepos_rate,0.021576475
partially_annotated_batches_2,scDREAMER,truepos_rate,0.002610057
partially_annotated_batches_2,ItClust,truepos_rate,0.153123369
partially_annotated_batches_1,scANVI,kBET,0.205751
partially_annotated_batches_1,scGEN,kBET,0.008618
partially_annotated_batches_1,scDREAMER,kBET,0.001416
partially_annotated_batches_1,ItClust,kBET,0
partially_annotated_batches_2,scANVI,kBET,0.222732
partially_annotated_batches_2,scGEN,kBET,0.004351
partially_annotated_batches_2,scDREAMER,kBET,0.006498
partially_annotated_batches_2,ItClust,kBET,0
randomly_wrong_30,scANVI,NMI_cluster/label,0.945950645
randomly_wrong_30,scANVI,ARI_cluster/label,0.973074609
randomly_wrong_30,scANVI,ASW_label,0.566679273
randomly_wrong_30,scANVI,ASW_label/batch,0.955269795
randomly_wrong_30,scANVI,graph_conn,1
randomly_wrong_30,scGEN,NMI_cluster/label,0.962057992
randomly_wrong_30,scGEN,ARI_cluster/label,0.98106197
randomly_wrong_30,scGEN,ASW_label,0.640290282
randomly_wrong_30,scGEN,ASW_label/batch,0.852692046
randomly_wrong_30,scGEN,graph_conn,0.999327505
randomly_wrong_30,STACAS,NMI_cluster/label,0.928619938
randomly_wrong_30,STACAS,ARI_cluster/label,0.953609331
randomly_wrong_30,STACAS,ASW_label,0.608469825
randomly_wrong_30,STACAS,ASW_label/batch,0.827073385
randomly_wrong_30,STACAS,graph_conn,0.999749279
randomly_wrong_30,scDREAMER,NMI_cluster/label,0.706338027
randomly_wrong_30,scDREAMER,ARI_cluster/label,0.597610484
randomly_wrong_30,scDREAMER,ASW_label,0.692071451
randomly_wrong_30,scDREAMER,ASW_label/batch,0.951041882
randomly_wrong_30,scDREAMER,graph_conn,1
randomly_wrong_30,ItClust,NMI_cluster/label,0.258524557
randomly_wrong_30,ItClust,ARI_cluster/label,0.198813126
randomly_wrong_30,ItClust,ASW_label,0.638451547
randomly_wrong_30,ItClust,ASW_label/batch,0.927388439
randomly_wrong_30,ItClust,graph_conn,0.846186194
randomly_wrong_50,scANVI,NMI_cluster/label,0.941516707
randomly_wrong_50,scANVI,ARI_cluster/label,0.969455922
randomly_wrong_50,scANVI,ASW_label,0.564493726
randomly_wrong_50,scANVI,ASW_label/batch,0.955733686
randomly_wrong_50,scANVI,graph_conn,1
randomly_wrong_50,scGEN,NMI_cluster/label,0.867417095
randomly_wrong_50,scGEN,ARI_cluster/label,0.832466514
randomly_wrong_50,scGEN,ASW_label,0.62610645
randomly_wrong_50,scGEN,ASW_label/batch,0.835814602
randomly_wrong_50,scGEN,graph_conn,0.99955167
randomly_wrong_50,STACAS,NMI_cluster/label,0.931271383
randomly_wrong_50,STACAS,ARI_cluster/label,0.954554401
randomly_wrong_50,STACAS,ASW_label,0.607391283
randomly_wrong_50,STACAS,ASW_label/batch,0.82278294
randomly_wrong_50,STACAS,graph_conn,0.99987464
randomly_wrong_50,scDREAMER,NMI_cluster/label,0.649888435
randomly_wrong_50,scDREAMER,ARI_cluster/label,0.433879665
randomly_wrong_50,scDREAMER,ASW_label,0.677179151
randomly_wrong_50,scDREAMER,ASW_label/batch,0.953205579
randomly_wrong_50,scDREAMER,graph_conn,1
randomly_wrong_50,ItClust,NMI_cluster/label,0.0891309
randomly_wrong_50,ItClust,ARI_cluster/label,0.042617024
randomly_wrong_50,ItClust,ASW_label,0.517088488
randomly_wrong_50,ItClust,ASW_label/batch,0.953453803
randomly_wrong_50,ItClust,graph_conn,0.660927715
randomly_wrong_70,scANVI,NMI_cluster/label,0.950991912
randomly_wrong_70,scANVI,ARI_cluster/label,0.975347274
