type,metric,method,score
randomly_missing_50,truepos_rate,STACAS,0.132692652
randomly_missing_70,truepos_rate,scANVI,0.147883961
randomly_missing_70,truepos_rate,scGEN,0.11206948
randomly_missing_70,truepos_rate,STACAS,0.132215126
unsupervised,truepos_rate,scVI,0.20906703
unsupervised,truepos_rate,Harmony,0.22783979
unsupervised,truepos_rate,scCRAFT,0.48092879
unsupervised,truepos_rate,Seurat,0.17540142
full_annotated_supervised,lisi_c,scANVI,0.993863354
full_annotated_supervised,lisi_c,scGEN,0.995436985
full_annotated_supervised,lisi_c,STACAS,0.989601726
CellAssign,lisi_c,scANVI,0.989029265
CellAssign,lisi_c,scGEN,0.986170251
CellAssign,lisi_c,STACAS,0.987978221
Azimuth,lisi_c,scANVI,0.989300932
Azimuth,lisi_c,scGEN,0.985743237
Azimuth,lisi_c,STACAS,0.98865265
singleR,lisi_c,scANVI,0.986252572
singleR,lisi_c,scGEN,0.979156095
singleR,lisi_c,STACAS,0.988099574
partially_annotated_batches_70,lisi_c,scANVI,0.990820897
partially_annotated_batches_70,lisi_c,scGEN,0.989013194
partially_annotated_batches_70,lisi_c,STACAS,0.988616844
partially_annotated_batches_50,lisi_c,scANVI,0.991895546
partially_annotated_batches_50,lisi_c,scGEN,0.990196052
partially_annotated_batches_50,lisi_c,STACAS,0.988876158
partially_annotated_batches_30,lisi_c,scANVI,0.992748923
partially_annotated_batches_30,lisi_c,scGEN,0.990754766
partially_annotated_batches_30,lisi_c,STACAS,0.989074596
mixing_at_edge_30,lisi_c,scANVI,0.990674402
mixing_at_edge_30,lisi_c,scGEN,0.987003133
mixing_at_edge_30,lisi_c,STACAS,0.988539834
mixing_at_edge_50,lisi_c,scANVI,0.991286504
mixing_at_edge_50,lisi_c,scGEN,0.987996521
mixing_at_edge_50,lisi_c,STACAS,0.988849265
mixing_at_edge_70,lisi_c,scANVI,0.992167391
mixing_at_edge_70,lisi_c,scGEN,0.989865993
mixing_at_edge_70,lisi_c,STACAS,0.989014214
randomly_missing_30,lisi_c,scANVI,0.993645869
randomly_missing_30,lisi_c,scGEN,0.992607182
randomly_missing_30,lisi_c,STACAS,0.989244191
randomly_missing_50,lisi_c,scANVI,0.993317296
randomly_missing_50,lisi_c,scGEN,0.989915872
randomly_missing_50,lisi_c,STACAS,0.988668888
randomly_missing_70,lisi_c,scANVI,0.992504309
randomly_missing_70,lisi_c,scGEN,0.988465064
randomly_missing_70,lisi_c,STACAS,0.988142195
unsupervised,lisi_c,scVI,0.986045
unsupervised,lisi_c,Harmony,0.986309
unsupervised,lisi_c,scCRAFT,0.984433
unsupervised,lisi_c,Seurat,0.97746
full_annotated_supervised,lisi_f1,scANVI,0.413568424
full_annotated_supervised,lisi_f1,scGEN,0.422815246
full_annotated_supervised,lisi_f1,STACAS,0.434478613
CellAssign,lisi_f1,scANVI,0.418637627
CellAssign,lisi_f1,scGEN,0.26672223
CellAssign,lisi_f1,STACAS,0.44530461
Azimuth,lisi_f1,scANVI,0.424079447
Azimuth,lisi_f1,scGEN,0.441420467
Azimuth,lisi_f1,STACAS,0.428661285
singleR,lisi_f1,scANVI,0.417279478
singleR,lisi_f1,scGEN,0.394592149
singleR,lisi_f1,STACAS,0.417434633
partially_annotated_batches_70,lisi_f1,scANVI,0.414067053
partially_annotated_batches_70,lisi_f1,scGEN,0.176552687
partially_annotated_batches_70,lisi_f1,STACAS,0.395293976
partially_annotated_batches_50,lisi_f1,scANVI,0.409584657
partially_annotated_batches_50,lisi_f1,scGEN,0.165225363
partially_annotated_batches_50,lisi_f1,STACAS,0.400272094
partially_annotated_batches_30,lisi_f1,scANVI,0.399305479
partially_annotated_batches_30,lisi_f1,scGEN,0.238549753
partially_annotated_batches_30,lisi_f1,STACAS,0.406165698
mixing_at_edge_30,lisi_f1,scANVI,0.426931707
mixing_at_edge_30,lisi_f1,scGEN,0.446732188
mixing_at_edge_30,lisi_f1,STACAS,0.439777554
mixing_at_edge_50,lisi_f1,scANVI,0.422643531
mixing_at_edge_50,lisi_f1,scGEN,0.405780103
mixing_at_edge_50,lisi_f1,STACAS,0.440221669
mixing_at_edge_70,lisi_f1,scANVI,0.426358214
mixing_at_edge_70,lisi_f1,scGEN,0.456714286
mixing_at_edge_70,lisi_f1,STACAS,0.439053992
randomly_missing_30,lisi_f1,scANVI,0.414325484
randomly_missing_30,lisi_f1,scGEN,0.429704654
randomly_missing_30,lisi_f1,STACAS,0.421522185
randomly_missing_50,lisi_f1,scANVI,0.41137547
randomly_missing_50,lisi_f1,scGEN,0.356595691
randomly_missing_50,lisi_f1,STACAS,0.407973016
