type,metric,method,score
mixing_at_edge_30,pos_rate,STACAS,0.843758545
mixing_at_edge_50,pos_rate,scANVI,0.874794914
mixing_at_edge_50,pos_rate,scGEN,0.872949139
mixing_at_edge_50,pos_rate,STACAS,0.843416735
mixing_at_edge_70,pos_rate,scANVI,0.917350287
mixing_at_edge_70,pos_rate,scGEN,0.914513262
mixing_at_edge_70,pos_rate,STACAS,0.848680613
randomly_missing_30,pos_rate,scANVI,0.959974022
randomly_missing_30,pos_rate,scGEN,0.949446267
randomly_missing_30,pos_rate,STACAS,0.856234619
randomly_missing_50,pos_rate,scANVI,0.958196609
randomly_missing_50,pos_rate,scGEN,0.934645885
randomly_missing_50,pos_rate,STACAS,0.846082855
randomly_missing_70,pos_rate,scANVI,0.948420837
randomly_missing_70,pos_rate,scGEN,0.92080257
randomly_missing_70,pos_rate,STACAS,0.833709325
unsupervised,pos_rate,scVI,0.805612524
unsupervised,pos_rate,Harmony,0.817610063
unsupervised,pos_rate,scCRAFT,0.805339076
unsupervised,pos_rate,Seurat,0.756494394
full_annotated_supervised,truepos_rate,scANVI,0.101551818
full_annotated_supervised,truepos_rate,scGEN,0.141953787
full_annotated_supervised,truepos_rate,STACAS,0.081931911
CellAssign,truepos_rate,scANVI,0.076702215
CellAssign,truepos_rate,scGEN,0.065935193
CellAssign,truepos_rate,STACAS,0.082512989
Azimuth,truepos_rate,scANVI,0.07051545
Azimuth,truepos_rate,scGEN,0.09057971
Azimuth,truepos_rate,STACAS,0.079778507
singleR,truepos_rate,scANVI,0.097962811
singleR,truepos_rate,scGEN,0.07687312
singleR,truepos_rate,STACAS,0.075027345
partially_annotated_batches_70,truepos_rate,scANVI,0.082000273
partially_annotated_batches_70,truepos_rate,scGEN,0.028267706
partially_annotated_batches_70,truepos_rate,STACAS,0.081453377
partially_annotated_batches_50,truepos_rate,scANVI,0.102132896
partially_annotated_batches_50,truepos_rate,scGEN,0.042213563
partially_annotated_batches_50,truepos_rate,STACAS,0.081726825
partially_annotated_batches_30,truepos_rate,scANVI,0.094407985
partially_annotated_batches_30,truepos_rate,scGEN,0.049699207
partially_annotated_batches_30,truepos_rate,STACAS,0.079368335
mixing_at_edge_30,truepos_rate,scANVI,0.098885699
mixing_at_edge_30,truepos_rate,scGEN,0.111669401
mixing_at_edge_30,truepos_rate,STACAS,0.081009024
mixing_at_edge_50,truepos_rate,scANVI,0.0996035
mixing_at_edge_50,truepos_rate,scGEN,0.128042111
mixing_at_edge_50,truepos_rate,STACAS,0.077522559
mixing_at_edge_70,truepos_rate,scANVI,0.115121684
mixing_at_edge_70,truepos_rate,scGEN,0.143457752
mixing_at_edge_70,truepos_rate,STACAS,0.080769757
randomly_missing_30,truepos_rate,scANVI,0.095228329
randomly_missing_30,truepos_rate,scGEN,0.158258135
randomly_missing_30,truepos_rate,STACAS,0.0855551
randomly_missing_50,truepos_rate,scANVI,0.102474706
randomly_missing_50,truepos_rate,scGEN,0.132075472
randomly_missing_50,truepos_rate,STACAS,0.07854799
randomly_missing_70,truepos_rate,scANVI,0.091776046
randomly_missing_70,truepos_rate,scGEN,0.107430954
